"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1N1)pdm09","A (H3)","B (Victoria)","B (Yamagata)"
"690","Germany","Sentinel","2022-23",2022-06-06,80,7,73,0,7,0,0
"691","Germany","Sentinel","2022-24",2022-06-13,93,7,86,0,7,0,0
"692","Germany","Sentinel","2022-25",2022-06-20,93,7,86,0,7,0,0
"693","Germany","Sentinel","2022-26",2022-06-27,101,5,96,0,5,0,0
"694","Germany","Sentinel","2022-27",2022-07-04,103,4,99,0,4,0,0
"695","Germany","Sentinel","2022-28",2022-07-11,81,3,78,0,3,0,0
"696","Germany","Sentinel","2022-29",2022-07-18,71,1,70,0,1,0,0
"697","Germany","Sentinel","2022-30",2022-07-25,100,2,98,0,2,0,0
"698","Germany","Sentinel","2022-31",2022-08-01,67,0,67,0,0,0,0
"699","Germany","Sentinel","2022-32",2022-08-08,58,2,56,0,2,0,0
"700","Germany","Sentinel","2022-33",2022-08-15,58,2,56,0,2,0,0
"701","Germany","Sentinel","2022-34",2022-08-22,60,5,55,0,5,0,0
"702","Germany","Sentinel","2022-35",2022-08-29,64,4,60,1,3,0,0
"703","Germany","Sentinel","2022-36",2022-09-05,91,2,89,1,1,0,0
"704","Germany","Sentinel","2022-37",2022-09-12,94,4,90,3,1,0,0
"705","Germany","Sentinel","2022-38",2022-09-19,122,3,119,2,1,0,0
"706","Germany","Sentinel","2022-39",2022-09-26,101,6,95,1,5,0,0
"707","Germany","Sentinel","2022-40",2022-10-03,99,12,87,0,12,0,0
"708","Germany","Sentinel","2022-41",2022-10-10,133,16,117,0,16,0,0
"709","Germany","Sentinel","2022-42",2022-10-17,115,18,97,0,17,1,0
"710","Germany","Sentinel","2022-43",2022-10-24,125,27,98,1,25,1,0
"711","Germany","Sentinel","2022-44",2022-10-31,157,27,130,0,26,1,0
"712","Germany","Sentinel","2022-45",2022-11-07,234,69,165,4,64,1,0
"713","Germany","Sentinel","2022-46",2022-11-14,260,73,187,3,70,0,0
"714","Germany","Sentinel","2022-47",2022-11-21,323,115,208,2,113,0,0
"715","Germany","Sentinel","2022-48",2022-11-28,363,181,182,3,178,0,0
"716","Germany","Sentinel","2022-49",2022-12-05,350,201,149,2,199,0,0
"717","Germany","Sentinel","2022-50",2022-12-12,355,195,160,10,183,2,0
"718","Germany","Sentinel","2022-51",2022-12-19,202,109,93,4,105,0,0
"719","Germany","Sentinel","2022-52",2022-12-26,55,25,30,1,23,1,0
"720","Germany","Sentinel","2023-01",2023-01-02,134,26,108,8,17,1,0
"721","Germany","Sentinel","2023-02",2023-01-09,165,15,150,5,9,1,0
"722","Germany","Sentinel","2023-03",2023-01-16,166,15,151,4,4,7,0
"723","Germany","Sentinel","2023-04",2023-01-23,148,14,134,3,3,8,0
"724","Germany","Sentinel","2023-05",2023-01-30,165,24,141,6,3,15,0
"725","Germany","Sentinel","2023-06",2023-02-06,168,22,146,3,1,18,0
"726","Germany","Sentinel","2023-07",2023-02-13,167,30,137,4,1,25,0
"727","Germany","Sentinel","2023-08",2023-02-20,144,23,121,3,0,20,0
"728","Germany","Sentinel","2023-09",2023-02-27,170,28,142,3,0,25,0
"729","Germany","Sentinel","2023-10",2023-03-06,158,40,118,6,0,34,0
"730","Germany","Sentinel","2023-11",2023-03-13,160,44,116,4,0,40,0
"731","Germany","Sentinel","2023-12",2023-03-20,181,55,126,4,0,51,0
"732","Germany","Sentinel","2023-13",2023-03-27,139,21,118,0,0,21,0
"733","Germany","Sentinel","2023-14",2023-04-03,74,21,53,0,0,21,0
"734","Germany","Sentinel","2023-15",2023-04-10,65,7,58,1,0,6,0
"735","Germany","Sentinel","2023-16",2023-04-17,102,9,93,0,0,9,0
"736","Germany","Sentinel","2023-17",2023-04-24,108,16,92,3,0,13,0
"737","Germany","Sentinel","2023-18",2023-05-01,86,11,75,1,0,10,0
"738","Germany","Sentinel","2023-19",2023-05-08,84,6,78,0,0,6,0
"739","Germany","Sentinel","2023-20",2023-05-15,73,5,68,2,0,3,0
"740","Germany","Sentinel","2023-21",2023-05-22,76,1,75,0,0,1,0
"741","Germany","Sentinel","2023-22",2023-05-29,50,1,49,1,0,0,0
"742","Germany","Sentinel","2023-23",2023-06-05,46,1,45,0,0,1,0
"743","Germany","Sentinel","2023-24",2023-06-12,55,1,54,0,0,1,0
"744","Germany","Sentinel","2023-25",2023-06-19,56,0,56,0,0,0,0
"745","Germany","Sentinel","2023-26",2023-06-26,56,0,56,0,0,0,0
"746","Germany","Sentinel","2023-27",2023-07-03,66,0,66,0,0,0,0
"747","Germany","Sentinel","2023-28",2023-07-10,55,0,55,0,0,0,0
"748","Germany","Sentinel","2023-29",2023-07-17,52,0,52,0,0,0,0
"749","Germany","Sentinel","2023-30",2023-07-24,37,0,37,0,0,0,0
"750","Germany","Sentinel","2023-31",2023-07-31,31,0,31,0,0,0,0
"751","Germany","Sentinel","2023-32",2023-08-07,44,1,43,0,1,0,0
"752","Germany","Sentinel","2023-33",2023-08-14,59,2,57,1,1,0,0
"753","Germany","Sentinel","2023-34",2023-08-21,66,0,66,0,0,0,0
"754","Germany","Sentinel","2023-35",2023-08-28,101,0,101,0,0,0,0
"755","Germany","Sentinel","2023-36",2023-09-04,135,1,134,0,1,0,0
"756","Germany","Sentinel","2023-37",2023-09-11,150,1,149,0,1,0,0
"757","Germany","Sentinel","2023-38",2023-09-18,165,1,164,0,1,0,0
"758","Germany","Sentinel","2023-39",2023-09-25,159,0,159,0,0,0,0
"759","Germany","Sentinel","2023-40",2023-10-02,123,1,122,0,1,0,0
"760","Germany","Sentinel","2023-41",2023-10-09,178,2,176,0,2,0,0
"761","Germany","Sentinel","2023-42",2023-10-16,181,1,180,1,0,0,0
"762","Germany","Sentinel","2023-43",2023-10-23,197,1,196,0,0,1,0
"763","Germany","Sentinel","2023-44",2023-10-30,198,4,194,3,1,0,0
"764","Germany","Sentinel","2023-45",2023-11-06,264,2,262,2,0,0,0
"765","Germany","Sentinel","2023-46",2023-11-13,278,3,275,3,0,0,0
"766","Germany","Sentinel","2023-47",2023-11-20,297,5,292,4,0,1,0
"767","Germany","Sentinel","2023-48",2023-11-27,311,9,302,5,3,1,0
"768","Germany","Sentinel","2023-49",2023-12-04,323,20,303,17,2,1,0
"769","Germany","Sentinel","2023-50",2023-12-11,335,54,281,51,2,1,0
"770","Germany","Sentinel","2023-51",2023-12-18,257,52,205,47,0,5,0
"771","Germany","Sentinel","2023-52",2023-12-25,59,18,41,14,2,2,0
"772","Germany","Sentinel","2024-01",2024-01-01,157,35,122,34,1,0,0
"773","Germany","Sentinel","2024-02",2024-01-08,214,47,167,40,3,4,0
"774","Germany","Sentinel","2024-03",2024-01-15,321,150,171,138,8,4,0
"775","Germany","Sentinel","2024-04",2024-01-22,372,182,190,173,4,5,0
"776","Germany","Sentinel","2024-05",2024-01-29,344,191,153,181,3,7,0
"777","Germany","Sentinel","2024-06",2024-02-05,330,158,172,147,4,7,0
"778","Germany","Sentinel","2024-07",2024-02-12,260,111,149,97,6,8,0
"779","Germany","Sentinel","2024-08",2024-02-19,247,84,163,74,2,8,0
"780","Germany","Sentinel","2024-09",2024-02-26,232,60,172,43,3,14,0
"781","Germany","Sentinel","2024-10",2024-03-04,191,51,140,23,4,24,0
"782","Germany","Sentinel","2024-11",2024-03-11,199,29,170,10,1,18,0
"783","Germany","Sentinel","2024-12",2024-03-18,170,29,141,9,0,20,0
"784","Germany","Sentinel","2024-13",2024-03-25,90,14,76,2,0,12,0
"785","Germany","Sentinel","2024-14",2024-04-01,94,11,83,3,0,8,0
"786","Germany","Sentinel","2024-15",2024-04-08,111,7,104,0,1,6,0
"787","Germany","Sentinel","2024-16",2024-04-15,110,6,104,0,0,6,0
"788","Germany","Sentinel","2024-17",2024-04-22,129,6,123,1,0,5,0
"789","Germany","Sentinel","2024-18",2024-04-29,111,11,100,0,0,11,0
"790","Germany","Sentinel","2024-19",2024-05-06,79,3,76,0,0,3,0
"791","Germany","Sentinel","2024-20",2024-05-13,90,2,88,0,0,2,0
"792","Germany","Sentinel","2024-21",2024-05-20,69,2,67,1,0,1,0
